연도,시도,시군구,생활용-개소수,생활용-이용량,공업용-개소수,공업용-이용량,농업용-개소수,농업용-이용량,기타용-개소수,기타용-이용량
2007,부산광역시,서구,241,952628,10,49312,5,35059,0,0
2007,부산광역시,수영구,327,1194960,11,50538,10,46585,12,27576
2007,부산광역시,연제구,409,2247966,5,17451,2,1156,0,0
2007,부산광역시,영도구,233,1013534,5,8750,1,256,1,832
2007,부산광역시,중구,86,357638,0,0,2,6142,0,0
2007,부산광역시,해운대구,646,2134956,10,152409,6,22931,11,990110
2007,서울특별시,강남구,395,1485216,27,236358,1099,663435,0,0
2007,서울특별시,강동구,449,1337583,0,0,570,662507,0,0
2007,서울특별시,강북구,516,614301,0,0,0,0,0,0
2007,서울특별시,강서구,571,2750797,6,35372,65,239133,0,0
2007,서울특별시,관악구,203,382298,9,11573,3,3253,0,0
2007,서울특별시,광진구,139,656570,0,0,1,1049,4,59381
2007,서울특별시,구로구,304,539355,14,26393,22,39288,0,0
2007,서울특별시,금천구,143,321864,14,21052,0,0,0,0
2007,서울특별시,노원구,366,1937895,9,18251,18,5750,1,7200
2007,서울특별시,도봉구,507,709166,14,19945,66,33274,0,0
2007,서울특별시,동대문구,453,833087,16,15134,6,25478,2,3131
2007,서울특별시,동작구,148,957364,7,13248,3,56810,2,3600
2007,서울특별시,마포구,170,492732,3,4529,8,8841,2,219
2007,서울특별시,서대문구,294,898524,16,18408,3,5314,2,4734
2007,서울특별시,서초구,500,1164186,35,119955,1083,615924,23,216619
2007,서울특별시,성동구,101,215282,65,436230,1,39,3,7080
2007,서울특별시,성북구,237,401052,16,22975,1,2,0,0
2007,서울특별시,송파구,313,1633057,38,48158,392,402360,0,0
2007,서울특별시,양천구,363,788954,3,6381,4,1825,0,0
2007,서울특별시,영등포구,266,474310,15,33568,12,10441,1,2101
2007,서울특별시,용산구,144,483232,12,28746,0,0,0,0
2007,서울특별시,은평구,366,896244,2,4572,17,4343,0,0
2007,서울특별시,종로구,175,702906,2,421,3,96,22,19873
2007,서울특별시,중구,158,968410,4,10403,0,0,0,0
2007,서울특별시,중랑구,240,664606,16,32752,17,18104,2,11275
2007,울산광역시,남구,436,2564044,24,237203,22,119465,1,10591
2007,울산광역시,동구,250,1560459,0,0,9,215,0,0
2007,울산광역시,북구,464,3277284,24,290410,117,1163952,0,0
2007,울산광역시,울주군,2333,30270841,133,2096801,801,6148316,43,436710
2007,울산광역시,중구,168,2044687,1,10950,22,217646,19,217594
2007,인천광역시,강화군,2794,9041867,29,334121,1738,2918037,5,18810
2007,인천광역시,계양구,1342,1880972,57,500985,241,806743,0,0
2007,인천광역시,미추홀구,385,734380,2,1460,0,0,0,0
2007,인천광역시,남동구,161,870332,13,78928,164,329074,0,0
2007,인천광역시,동구,42,68092,5,40184,0,0,1,0
2007,인천광역시,부평구,695,5110215,46,415370,4,31390,0,0
2007,인천광역시,서구,582,1545807,13,81586,110,352605,0,0
2007,인천광역시,연수구,128,571338,0,0,5,172280,0,0
2007,인천광역시,옹진군,487,3448511,16,218787,250,1048977,6,51602
