,행정구역,,2023년03월_계_총인구수,2023년03월_계_연령구간인구수,2023년03월_계_0~9세,2023년03월_계_10~19세,2023년03월_계_20~29세,2023년03월_계_30~39세,2023년03월_계_40~49세,2023년03월_계_50~59세,2023년03월_계_60~69세,2023년03월_계_70~79세,2023년03월_계_80~89세,2023년03월_계_90~99세,2023년03월_계_100세 이상,2023년03월_남_총인구수,2023년03월_남_연령구간인구수,2023년03월_남_0~9세,2023년03월_남_10~19세,2023년03월_남_20~29세,2023년03월_남_30~39세,2023년03월_남_40~49세,2023년03월_남_50~59세,2023년03월_남_60~69세,2023년03월_남_70~79세,2023년03월_남_80~89세,2023년03월_남_90~99세,2023년03월_남_100세 이상,2023년03월_여_총인구수,2023년03월_여_연령구간인구수,2023년03월_여_0~9세,2023년03월_여_10~19세,2023년03월_여_20~29세,2023년03월_여_30~39세,2023년03월_여_40~49세,2023년03월_여_50~59세,2023년03월_여_60~69세,2023년03월_여_70~79세,2023년03월_여_80~89세,2023년03월_여_90~99세,2023년03월_여_100세 이상
44,경기도,양주시,"250,698","250,698","20,162","25,625","28,195","30,622","41,579","42,104","34,459","17,604","9,041","1,258",49,"126,690","126,690","10,221","12,916","15,106","15,878","21,218","21,992","17,353","8,242","3,458",294,12,"124,008","124,008","9,941","12,709","13,089","14,744","20,361","20,112","17,106","9,362","5,583",964,37
45,경기도,양평군,"122,661","122,661","6,536","9,819","9,948","10,349","16,073","21,090","26,010","14,300","7,381","1,123",32,"61,661","61,661","3,362","5,170","5,520","5,402","8,069","10,784","13,003","7,096","2,982",268,5,"61,000","61,000","3,174","4,649","4,428","4,947","8,004","10,306","13,007","7,204","4,399",855,27
46,경기도,여주시,"113,209","113,209","6,442","9,325","11,388","11,040","15,650","20,029","21,165","11,034","6,135",975,26,"57,644","57,644","3,320","4,862","6,195","5,898","8,009","10,525","10,845","5,387","2,362",240,1,"55,565","55,565","3,122","4,463","5,193","5,142","7,641","9,504","10,320","5,647","3,773",735,25
47,경기도,연천군,"41,762","41,762","2,207","2,843","4,715","3,941","4,445","6,689","8,446","4,828","3,197",435,16,"21,951","21,951","1,134","1,492","3,015","2,308","2,405","3,624","4,429","2,262","1,164",112,6,"19,811","19,811","1,073","1,351","1,700","1,633","2,040","3,065","4,017","2,566","2,033",323,10
48,경기도,오산시,"229,247","229,247","19,207","25,291","29,680","35,379","44,552","35,258","23,789","10,482","4,987",613,9,"119,410","119,410","9,757","13,053","16,189","19,566","23,786","18,507","11,808","4,739","1,863",141,1,"109,837","109,837","9,450","12,238","13,491","15,813","20,766","16,751","11,981","5,743","3,124",472,8
49,경기도,용인시,"1,073,513","1,073,513","85,643","120,803","133,660","134,262","193,324","178,118","119,556","68,861","34,346","4,794",146,"532,590","532,590","43,800","61,749","69,970","67,180","94,912","90,006","58,150","30,743","14,711","1,337",32,"540,923","540,923","41,843","59,054","63,690","67,082","98,412","88,112","61,406","38,118","19,635","3,457",114
51,경기도,의왕시,"159,246","159,246","11,759","13,631","20,594","22,054","23,180","28,333","24,430","9,679","4,761",804,21,"78,962","78,962","6,027","7,039","10,850","11,257","11,685","13,552","11,958","4,657","1,752",182,3,"80,284","80,284","5,732","6,592","9,744","10,797","11,495","14,781","12,472","5,022","3,009",622,18
52,경기도,의정부시,"462,637","462,637","30,917","40,738","61,264","59,940","71,782","81,587","65,235","32,310","16,671","2,131",62,"227,427","227,427","16,031","20,820","30,843","30,760","36,285","39,977","31,598","14,335","6,251",515,12,"235,210","235,210","14,886","19,918","30,421","29,180","35,497","41,610","33,637","17,975","10,420","1,616",50
53,경기도,이천시,"222,148","222,148","16,275","21,766","29,824","30,297","34,925","35,858","30,455","14,013","7,663","1,045",27,"115,650","115,650","8,382","11,258","17,176","16,583","18,227","18,584","15,687","6,629","2,854",264,6,"106,498","106,498","7,893","10,508","12,648","13,714","16,698","17,274","14,768","7,384","4,809",781,21
54,경기도,파주시,"496,450","496,450","41,832","51,616","58,257","69,446","84,811","80,873","59,858","30,050","17,144","2,489",74,"251,832","251,832","21,398","26,294","31,633","36,263","43,597","42,091","30,103","13,388","6,431",613,21,"244,618","244,618","20,434","25,322","26,624","33,183","41,214","38,782","29,755","16,662","10,713","1,876",53
